Fecha|Valor
1979-11-01 00:00:00|82.58346839546194
1984-01-01 00:00:00|80.0
1984-02-01 00:00:00|83.0
1984-03-01 00:00:00|80.0
1984-04-01 00:00:00|80.0
1984-05-01 00:00:00|85.0
1984-06-01 00:00:00|84.0
1984-07-01 00:00:00|83.0
1984-08-01 00:00:00|85.0
1984-09-01 00:00:00|84.0
1984-10-01 00:00:00|86.0
1984-11-01 00:00:00|84.0
1984-12-01 00:00:00|76.0
1985-01-01 00:00:00|75.0
1985-02-01 00:00:00|72.0
1985-03-01 00:00:00|74.0
1985-04-01 00:00:00|77.0
1985-05-01 00:00:00|80.0
1985-06-01 00:00:00|81.0
1985-07-01 00:00:00|81.0
1985-08-01 00:00:00|84.0
1985-09-01 00:00:00|82.0
1985-10-01 00:00:00|83.0
1985-11-01 00:00:00|82.0
1985-12-01 00:00:00|81.0
1986-01-01 00:00:00|77.0
1986-02-01 00:00:00|72.0
1986-03-01 00:00:00|74.0
1986-04-01 00:00:00|79.0
1986-05-01 00:00:00|80.0
1986-06-01 00:00:00|83.0
1986-07-01 00:00:00|77.0
1986-08-01 00:00:00|77.0
1986-09-01 00:00:00|80.0
1986-11-01 00:00:00|80.0
1986-12-01 00:00:00|76.0
1987-01-01 00:00:00|74.0
1987-02-01 00:00:00|75.0
1987-03-01 00:00:00|74.0
1987-04-01 00:00:00|76.0
1987-05-01 00:00:00|82.0
1987-06-01 00:00:00|81.0
1987-07-01 00:00:00|82.0
1987-08-01 00:00:00|84.0
1987-09-01 00:00:00|83.0
1987-10-01 00:00:00|86.0
1987-11-01 00:00:00|82.44600280504888
1987-12-01 00:00:00|78.84583333333356
1989-01-01 00:00:00|76.0
1989-02-01 00:00:00|71.0
1989-03-01 00:00:00|76.0
1989-04-01 00:00:00|78.0
1989-05-01 00:00:00|81.0
1989-06-01 00:00:00|82.0
1989-07-01 00:00:00|79.0
1989-08-01 00:00:00|82.0
1989-09-01 00:00:00|81.0
1989-10-01 00:00:00|84.0
1989-11-01 00:00:00|82.08695652173913
1989-12-01 00:00:00|79.0
1990-01-01 00:00:00|76.0
1990-03-01 00:00:00|74.0
1990-04-01 00:00:00|74.0
1990-05-01 00:00:00|80.0
1990-06-01 00:00:00|79.0
1990-07-01 00:00:00|80.0
1990-08-01 00:00:00|82.0
1990-09-01 00:00:00|83.0
1990-10-01 00:00:00|84.0
1990-11-01 00:00:00|84.0
1990-12-01 00:00:00|82.0
1991-01-01 00:00:00|82.0
1991-02-01 00:00:00|77.0
1991-03-01 00:00:00|80.0
1991-04-01 00:00:00|79.0
